Date,Open,High,Low,Close,Adj Close,Volume
2019-11-22,26584.880859375,26690.169921875,26487.669921875,26595.080078125,26595.080078125,1100431900
2019-11-25,26873.349609375,27114.220703125,26852.890625,26993.0390625,26993.0390625,1497175900
2019-11-26,27183.900390625,27227.869140625,26913.919921875,26913.919921875,26913.919921875,2416392100
2019-11-27,26943.51953125,26974.279296875,26866.80078125,26954.0,26954.0,1133748200
2019-11-28,26763.630859375,26991.80078125,26763.630859375,26893.73046875,26893.73046875,998841900
2019-11-29,26705.380859375,26705.380859375,26308.099609375,26346.490234375,26346.490234375,2004856800
2019-12-02,26475.33984375,26511.55078125,26393.08984375,26444.720703125,26444.720703125,1348911800
2019-12-03,26315.970703125,26424.119140625,26063.01953125,26391.30078125,26391.30078125,1795451800
2019-12-04,26071.390625,26191.7890625,25995.150390625,26062.560546875,26062.560546875,1502327900
2019-12-05,26300.509765625,26300.509765625,26134.060546875,26217.0390625,26217.0390625,1228026600
2019-12-06,26345.19921875,26520.080078125,26309.33984375,26498.369140625,26498.369140625,1644211100
2019-12-09,26513.970703125,26618.25,26432.26953125,26494.73046875,26494.73046875,1301819900
2019-12-10,26378.990234375,26527.08984375,26355.529296875,26436.619140625,26436.619140625,956293300
2019-12-11,26410.08984375,26659.98046875,26364.4296875,26645.4296875,26645.4296875,1409589200
2019-12-12,26837.939453125,27048.98046875,26837.939453125,26994.140625,26994.140625,1451721900
2019-12-13,27494.509765625,27687.759765625,27405.259765625,27687.759765625,27687.759765625,2212195500
2019-12-16,27530.5,27715.9296875,27473.3203125,27508.08984375,27508.08984375,1421412600
2019-12-17,27630.689453125,27894.720703125,27563.439453125,27843.7109375,27843.7109375,1926224500
2019-12-18,27884.2109375,27884.2109375,27884.2109375,27884.2109375,27884.2109375,0
2019-12-19,27908.779296875,27908.779296875,27675.240234375,27800.490234375,27800.490234375,1296810200
2019-12-20,27834.55078125,27959.51953125,27740.66015625,27871.349609375,27871.349609375,1680024400
2019-12-23,28024.619140625,28024.619140625,27830.080078125,27906.41015625,27906.41015625,1216834000
2019-12-24,27901.509765625,27921.2890625,27792.66015625,27864.2109375,27864.2109375,483984100
2019-12-27,28033.66015625,28226.109375,28000.619140625,28225.419921875,28225.419921875,1375016100
2019-12-30,28250.48046875,28418.650390625,28165.130859375,28319.390625,28319.390625,1420447400
2019-12-31,28241.4296875,28298.4609375,28123.859375,28189.75,28189.75,873713900
2020-01-02,28249.369140625,28543.51953125,28245.970703125,28543.51953125,28543.51953125,1262732800
2020-01-03,28828.359375,28883.30078125,28428.169921875,28451.5,28451.5,1797904800
2020-01-06,28326.5,28367.869140625,28054.2890625,28226.189453125,28226.189453125,1793426600
2020-01-07,28352.6796875,28473.080078125,28264.0703125,28322.060546875,28322.060546875,1302687200
2020-01-08,27999.580078125,28198.609375,27857.73046875,28087.919921875,28087.919921875,1709241600
2020-01-09,28367.650390625,28561.0,28325.859375,28561.0,28561.0,1692786200
2020-01-10,28665.140625,28665.140625,28504.26953125,28638.19921875,28638.19921875,1448401000
2020-01-13,28772.369140625,28971.400390625,28671.83984375,28954.939453125,28954.939453125,1765055700
2020-01-14,29149.529296875,29149.529296875,28790.490234375,28885.140625,28885.140625,1643504700
2020-01-15,28891.0703125,28972.6796875,28619.099609375,28773.58984375,28773.58984375,1240120700
2020-01-16,28806.119140625,28987.73046875,28709.5703125,28883.0390625,28883.0390625,1620926200
2020-01-17,28988.16015625,29101.150390625,28813.130859375,29056.419921875,29056.419921875,1545082800
2020-01-20,29169.119140625,29174.919921875,28795.419921875,28795.91015625,28795.91015625,1633383900
2020-01-21,28449.380859375,28492.029296875,27980.5,27985.330078125,27985.330078125,2236521700
2020-01-22,28116.5,28393.9296875,27937.6796875,28341.0390625,28341.0390625,1343288100
2020-01-23,28109.75,28133.029296875,27706.369140625,27909.119140625,27909.119140625,1753263000
2020-01-24,27935.419921875,27977.630859375,27774.5,27949.640625,27949.640625,612128700
2020-01-29,27101.5390625,27333.30078125,27101.5390625,27160.630859375,27160.630859375,2203836100
2020-01-30,27030.609375,27134.55078125,26330.05078125,26449.130859375,26449.130859375,2223567800
2020-01-31,26757.609375,26818.83984375,26295.490234375,26312.630859375,26312.630859375,1874255200
2020-02-03,26189.609375,26512.580078125,26145.58984375,26356.98046875,26356.98046875,2421482700
2020-02-04,26491.66015625,26730.259765625,26491.66015625,26675.98046875,26675.98046875,2500238100
2020-02-05,26869.3203125,26926.119140625,26641.919921875,26786.740234375,26786.740234375,2498930800
2020-02-06,27174.529296875,27608.220703125,27029.490234375,27493.69921875,27493.69921875,2249533900
2020-02-07,27356.279296875,27410.580078125,27224.119140625,27404.26953125,27404.26953125,1464514700
2020-02-10,27092.150390625,27314.640625,27044.880859375,27241.33984375,27241.33984375,1612017900
2020-02-11,27514.25,27674.810546875,27436.990234375,27583.880859375,27583.880859375,1868625400
2020-02-12,27717.220703125,27892.48046875,27614.830078125,27823.66015625,27823.66015625,1796561200
2020-02-13,27953.650390625,27953.650390625,27695.599609375,27730.0,27730.0,1617010200
2020-02-14,27698.560546875,27960.66015625,27695.58984375,27815.599609375,27815.599609375,1445335900
2020-02-17,27766.7109375,28055.580078125,27766.7109375,27959.599609375,27959.599609375,1412999200
2020-02-18,27766.5,27771.30078125,27496.25,27530.19921875,27530.19921875,1592221400
2020-02-19,27486.4609375,27697.4609375,27448.599609375,27655.810546875,27655.810546875,1471538100
2020-02-20,27767.279296875,27767.279296875,27383.130859375,27609.16015625,27609.16015625,1582073100
2020-02-21,27450.4609375,27484.529296875,27264.779296875,27308.810546875,27308.810546875,1773613400
2020-02-24,27105.349609375,27105.349609375,26813.220703125,26820.880859375,26820.880859375,2044657000
2020-02-25,26722.390625,26914.05078125,26667.0390625,26893.23046875,26893.23046875,1924042900
2020-02-26,26696.490234375,26696.490234375,26696.490234375,26696.490234375,26696.490234375,0
2020-02-27,26529.169921875,26849.5703125,26419.970703125,26778.619140625,26778.619140625,2110369700
2020-02-28,26249.060546875,26313.55078125,25989.41015625,26129.9296875,26129.9296875,3191426200
2020-03-02,26077.73046875,26375.91015625,26077.73046875,26291.6796875,26291.6796875,2201535600
2020-03-03,26419.130859375,26527.75,26233.390625,26284.8203125,26284.8203125,2136295000
2020-03-04,26321.560546875,26372.48046875,26038.390625,26222.0703125,26222.0703125,1957062400
2020-03-05,26348.16015625,26805.580078125,26315.359375,26767.869140625,26767.869140625,2522843200
2020-03-06,26397.779296875,26408.80078125,26084.23046875,26146.669921875,26146.669921875,2646519300
2020-03-09,25134.01953125,25321.279296875,24948.380859375,25040.4609375,25040.4609375,4677892400
2020-03-10,25285.6796875,25578.609375,24978.970703125,25392.509765625,25392.509765625,3225661100
2020-03-11,25459.9609375,25493.23046875,25140.380859375,25231.609375,25231.609375,2627625600
2020-03-12,24657.669921875,24657.669921875,24117.939453125,24309.0703125,24309.0703125,3748928400
2020-03-13,22519.3203125,24184.48046875,22519.3203125,24032.91015625,24032.91015625,5495155700
2020-03-16,23317.810546875,23631.529296875,22842.25,23063.5703125,23063.5703125,4067029300
2020-03-17,23001.759765625,23401.19921875,22676.4609375,23263.73046875,23263.73046875,3637973700
2020-03-18,23023.33984375,23425.029296875,22167.419921875,22291.8203125,22291.8203125,4217153600
2020-03-19,22221.380859375,22380.33984375,21139.259765625,21709.130859375,21709.130859375,5628397600
2020-03-20,22147.33984375,22805.0703125,22147.33984375,22805.0703125,22805.0703125,4528187900
2020-03-23,21696.130859375,21696.130859375,21696.130859375,21696.130859375,21696.130859375,0
2020-03-24,22497.5703125,22753.009765625,22383.25,22663.490234375,22663.490234375,3614066700
2020-03-25,23255.91015625,23569.44921875,23062.23046875,23527.189453125,23527.189453125,3605374900
2020-03-26,23604.830078125,23604.830078125,23163.669921875,23352.33984375,23352.33984375,2519508100
2020-03-27,23768.41015625,23791.19921875,23354.009765625,23484.279296875,23484.279296875,2199674300
2020-03-30,23020.849609375,23491.509765625,22973.330078125,23175.109375,23175.109375,2553435900
2020-03-31,23613.26953125,23627.529296875,23238.0390625,23603.48046875,23603.48046875,2876326600
2020-04-01,23365.900390625,23540.009765625,22947.640625,23085.7890625,23085.7890625,2879977600
2020-04-02,22838.669921875,23280.060546875,22756.130859375,23280.060546875,23280.060546875,2560937400
2020-04-03,23072.94921875,23236.109375,23030.580078125,23236.109375,23236.109375,1870630600
2020-04-06,23558.830078125,23832.9296875,23271.470703125,23749.119140625,23749.119140625,1834036600
2020-04-07,24093.05078125,24262.009765625,23796.029296875,24253.2890625,24253.2890625,2535034600
2020-04-08,24191.3203125,24191.3203125,23897.400390625,23970.369140625,23970.369140625,1840854100
2020-04-09,24181.3203125,24308.689453125,24045.1796875,24300.330078125,24300.330078125,1725334600
2020-04-14,24347.609375,24546.390625,24283.130859375,24435.400390625,24435.400390625,2050447800
2020-04-15,24499.859375,24603.599609375,24090.5,24145.33984375,24145.33984375,1906625200
